"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Kadapa","S","I",0.647829180982044,0.3521708190179561,2,1,4,1.0,1
"Guntur","R","S",1.0,0.0,2,1,3,1.0,1
"Chittoor","I","I",0.2835545221765057,0.7164454778234943,2,1,1,1.0,1
"Visakhapatnam","I","I",0.36513548030018217,0.6348645196998178,2,1,10,1.0,1
"Anantapur","S","S",0.6796938671127213,0.3203061328872788,2,1,0,1.0,1
"East-Godavari","I","I",0.5186598613593637,0.4813401386406363,2,1,2,1.0,1
"Prakasam","S","I",0.6345985437449405,0.36540145625505943,2,1,8,1.0,1
"Krishna","I","I",0.28346452283065315,0.7165354771693468,2,1,5,1.0,1
"West-Godavari","S","I",0.7938028629787315,0.20619713702126866,2,1,12,1.0,1
"Srikakulam","R","R",0.0,1.0,2,1,9,1.0,1
"Kurnool","I","I",0.2854958763630232,0.7145041236369768,2,1,6,1.0,1
"Nellore","I","R",0.2936335930223319,0.7063664069776681,2,1,7,1.0,1
"Vizianagaram","R","S",0.4436781616593075,0.5563218383406925,2,1,11,1.0,1
"Kadapa","S","I",0.8934513138886891,0.10654868611131083,3,1,4,2.0,1
"Guntur","S","I",0.8867035844255213,0.1132964155744788,3,1,3,2.0,1
"Chittoor","R","R",0.5654860068507652,0.43451399314923483,3,1,1,2.0,1
"Visakhapatnam","I","R",0.6120035592377211,0.38799644076227896,3,1,10,2.0,1
"Anantapur","I","R",0.44215744382461264,0.5578425561753874,3,1,0,2.0,1
"East-Godavari","R","S",1.0,0.0,3,1,2,2.0,1
"Prakasam","I","I",0.618624247975851,0.3813757520241491,3,1,8,2.0,1
"Krishna","I","I",0.3372048509357955,0.6627951490642046,3,1,5,2.0,1
"West-Godavari","I","I",0.5447809793984233,0.45521902060157665,3,1,12,2.0,1
"Srikakulam","S","S",0.0,1.0,3,1,9,2.0,1
"Kurnool","I","R",0.5544345654962657,0.44556543450373437,3,1,6,2.0,1
"Nellore","R","S",0.649968451536206,0.35003154846379403,3,1,7,2.0,1
"Vizianagaram","S","I",0.7006294781927798,0.29937052180722035,3,1,11,2.0,1
"Kadapa","I","I",0.14917770234424005,0.8508222976557599,4,1,4,3.0,1
"Guntur","S","I",0.785190281273689,0.2148097187263111,4,1,3,3.0,1
"Chittoor","S","S",0.7992232989943806,0.20077670100561948,4,1,1,3.0,1
"Visakhapatnam","I","I",0.37163429160072364,0.6283657083992763,4,1,10,3.0,1
"Anantapur","I","I",0.0,1.0,4,1,0,3.0,1
"East-Godavari","S","I",0.6302348442336287,0.36976515576637126,4,1,2,3.0,1
"Prakasam","I","I",0.2614899798368324,0.7385100201631676,4,1,8,3.0,1
"Krishna","I","I",0.207627435674907,0.792372564325093,4,1,5,3.0,1
"West-Godavari","R","S",1.0,0.0,4,1,12,3.0,1
"Srikakulam","S","S",0.0,1.0,4,1,9,3.0,1
"Kurnool","I","I",0.0,1.0,4,1,6,3.0,1
"Nellore","S","I",0.7929891217762165,0.20701087822378353,4,1,7,3.0,1
"Vizianagaram","S","S",0.45752080019625474,0.5424791998037454,4,1,11,3.0,1
"Kadapa","I","I",0.10160860889555927,0.8983913911044407,5,1,4,4.0,1
"Guntur","I","I",0.05281626877972367,0.9471837312202763,5,1,3,4.0,1
"Chittoor","I","I",0.09170064020457525,0.9082993597954248,5,1,1,4.0,1
"Visakhapatnam","I","I",0.1237997481438076,0.8762002518561924,5,1,10,4.0,1
"Anantapur","I","I",0.0,1.0,5,1,0,4.0,1
"East-Godavari","I","I",0.1873099238721688,0.8126900761278312,5,1,2,4.0,1
"Prakasam","I","R",0.1067713858392741,0.8932286141607259,5,1,8,4.0,1
"Krishna","I","I",0.11608305251351957,0.8839169474864805,5,1,5,4.0,1
"West-Godavari","R","R",NaN,NaN,5,1,12,4.0,1
"Srikakulam","I","I",0.0,1.0,5,1,9,4.0,1
"Kurnool","I","I",0.0,1.0,5,1,6,4.0,1
"Nellore","I","R",0.05259268030547202,0.947407319694528,5,1,7,4.0,1
"Vizianagaram","I","I",0.14196591611952983,0.8580340838804702,5,1,11,4.0,1
"Kadapa","R","S",1.0,0.0,6,1,4,5.0,1
"Guntur","I","I",0.10873431792279048,0.8912656820772095,6,1,3,5.0,1
"Chittoor","I","R",0.15395939772032635,0.8460406022796736,6,1,1,5.0,1
"Visakhapatnam","I","I",0.3488530545643794,0.6511469454356206,6,1,10,5.0,1
"Anantapur","I","I",0.15605228651487404,0.843947713485126,6,1,0,5.0,1
"East-Godavari","I","R",0.2206715045550388,0.7793284954449612,6,1,2,5.0,1
"Prakasam","I","I",0.15908628838104966,0.8409137116189503,6,1,8,5.0,1
"Krishna","I","I",0.11751150552773341,0.8824884944722665,6,1,5,5.0,1
"West-Godavari","S","I",1.0,0.0,6,1,12,5.0,1
"Srikakulam","I","R",0.5579784004384755,0.4420215995615245,6,1,9,5.0,1
"Kurnool","I","R",0.17712963952002556,0.8228703604799745,6,1,6,5.0,1
"Nellore","I","I",0.11939350606761366,0.8806064939323864,6,1,7,5.0,1
"Vizianagaram","R","S",1.0,0.0,6,1,11,5.0,1
"Kadapa","R","S",0.998791878985931,0.001208121014068975,7,1,4,6.0,1
"Guntur","R","R",0.00584969336807633,0.9941503066319237,7,1,3,6.0,1
"Chittoor","I","I",0.41977093965166057,0.5802290603483394,7,1,1,6.0,1
"Visakhapatnam","I","R",0.8331331133425589,0.16686688665744107,7,1,10,6.0,1
"Anantapur","I","I",0.4202736771774997,0.5797263228225003,7,1,0,6.0,1
"East-Godavari","R","R",0.0018781248707033544,0.9981218751292966,7,1,2,6.0,1
"Prakasam","I","I",0.5814741563120719,0.4185258436879281,7,1,8,6.0,1
"Krishna","I","R",0.38592672797130834,0.6140732720286917,7,1,5,6.0,1
"West-Godavari","S","I",1.0,0.0,7,1,12,6.0,1
"Srikakulam","R","R",0.0,1.0,7,1,9,6.0,1
"Kurnool","I","R",0.49896211907953747,0.5010378809204624,7,1,6,6.0,1
"Nellore","R","R",0.002577899752902464,0.9974221002470975,7,1,7,6.0,1
"Vizianagaram","R","S",0.9341544012959543,0.06584559870404576,7,1,11,6.0,1
"Kadapa","S","I",1.0,0.0,8,1,4,7.0,1
"Guntur","R","S",0.3433724225099131,0.6566275774900868,8,1,3,7.0,1
"Chittoor","I","R",0.41867066863530583,0.5813293313646941,8,1,1,7.0,1
"Visakhapatnam","I","R",0.6805388611715425,0.31946113882845756,8,1,10,7.0,1
"Anantapur","R","R",0.3889834529081144,0.6110165470918856,8,1,0,7.0,1
"East-Godavari","R","S",1.0,0.0,8,1,2,7.0,1
"Prakasam","I","R",0.5829122838843539,0.41708771611564616,8,1,8,7.0,1
"Krishna","I","R",0.36281853820316323,0.6371814617968368,8,1,5,7.0,1
"West-Godavari","I","I",0.11267852463244407,0.8873214753675559,8,1,12,7.0,1
"Srikakulam","S","S",0.0,1.0,8,1,9,7.0,1
"Kurnool","I","I",0.561239859732191,0.4387601402678088,8,1,6,7.0,1
"Nellore","R","R",0.3968362248244308,0.6031637751755692,8,1,7,7.0,1
"Vizianagaram","S","I",0.9516366676168393,0.04836333238316074,8,1,11,7.0,1
"Kadapa","S","I",1.0,0.0,9,1,4,8.0,1
"Guntur","R","R",0.34640776197389167,0.6535922380261083,9,1,3,8.0,1
"Chittoor","I","I",0.5077623823164176,0.4922376176835824,9,1,1,8.0,1
"Visakhapatnam","I","R",0.6925525881334792,0.3074474118665207,9,1,10,8.0,1
"Anantapur","R","S",0.3852032436315684,0.6147967563684316,9,1,0,8.0,1
"East-Godavari","S","S",0.5713190654215112,0.42868093457848877,9,1,2,8.0,1
"Prakasam","I","I",0.608147562161214,0.391852437838786,9,1,8,8.0,1
"Krishna","I","I",0.4642875592749972,0.5357124407250028,9,1,5,8.0,1
"West-Godavari","R","R",0.4606336824396929,0.5393663175603071,9,1,12,8.0,1
"Srikakulam","I","I",NaN,NaN,9,1,9,8.0,1
"Kurnool","I","R",0.6149048530870812,0.3850951469129189,9,1,6,8.0,1
"Nellore","R","S",0.407695871122382,0.592304128877618,9,1,7,8.0,1
"Vizianagaram","S","I",0.7884501615752992,0.2115498384247008,9,1,11,8.0,1
"Kadapa","S","I",0.9669350636503649,0.03306493634963508,10,1,4,9.0,1
"Guntur","S","S",0.212993321666865,0.787006678333135,10,1,3,9.0,1
"Chittoor","R","R",0.26084437858613047,0.7391556214138696,10,1,1,9.0,1
"Visakhapatnam","I","R",1.0,0.0,10,1,10,9.0,1
"Anantapur","S","S",0.0,1.0,10,1,0,9.0,1
"East-Godavari","S","S",0.33508422382564607,0.6649157761743539,10,1,2,9.0,1
"Prakasam","R","R",0.3207572917704304,0.6792427082295694,10,1,8,9.0,1
"Krishna","R","S",0.2935394773027337,0.7064605226972663,10,1,5,9.0,1
"West-Godavari","R","S",0.5041574939852066,0.49584250601479324,10,1,12,9.0,1
"Srikakulam","R","S",1.0,0.0,10,1,9,9.0,1
"Kurnool","R","S",0.3627278753241434,0.6372721246758565,10,1,6,9.0,1
"Nellore","R","S",0.9996434800068394,3.5651999316057106E-4,10,1,7,9.0,1
"Vizianagaram","S","I",0.6820564987678674,0.31794350123213255,10,1,11,9.0,1
"Kadapa","I","I",0.2800006604704133,0.7199993395295867,11,1,4,10.0,1
"Guntur","S","S",0.47004964815021955,0.5299503518497805,11,1,3,10.0,1
"Chittoor","S","S",0.0190862855765504,0.9809137144234497,11,1,1,10.0,1
"Visakhapatnam","I","R",0.39020185111204736,0.6097981488879527,11,1,10,10.0,1
"Anantapur","S","I",0.4891696816003805,0.5108303183996195,11,1,0,10.0,1
"East-Godavari","I","I",0.2266810197967161,0.7733189802032838,11,1,2,10.0,1
"Prakasam","R","S",0.9367821602208387,0.06321783977916123,11,1,8,10.0,1
"Krishna","S","S",0.11133539531926089,0.8886646046807392,11,1,5,10.0,1
"West-Godavari","R","S",0.8392024782015657,0.16079752179843437,11,1,12,10.0,1
"Srikakulam","S","I",1.0,0.0,11,1,9,10.0,1
"Kurnool","S","S",0.05533320150864705,0.9446667984913529,11,1,6,10.0,1
"Nellore","S","S",0.39991837667420305,0.600081623325797,11,1,7,10.0,1
"Vizianagaram","I","I",0.1749921575343507,0.8250078424656493,11,1,11,10.0,1
"Kadapa","I","I",0.2241726794909454,0.7758273205090546,12,1,4,11.0,1
"Guntur","S","S",0.6471502534208855,0.3528497465791144,12,1,3,11.0,1
"Chittoor","S","S",0.2418569427957903,0.7581430572042096,12,1,1,11.0,1
"Visakhapatnam","I","R",0.3350638446781911,0.6649361553218088,12,1,10,11.0,1
"Anantapur","S","S",0.6409714355128179,0.3590285644871822,12,1,0,11.0,1
"East-Godavari","I","R",0.6800249907262395,0.31997500927376055,12,1,2,11.0,1
"Prakasam","R","S",1.0,0.0,12,1,8,11.0,1
"Krishna","S","I",0.33317919019504616,0.666820809804954,12,1,5,11.0,1
"West-Godavari","S","S",0.0035517078145907975,0.9964482921854092,12,1,12,11.0,1
"Srikakulam","S","I",1.0,0.0,12,1,9,11.0,1
"Kurnool","I","I",0.0,1.0,12,1,6,11.0,1
"Nellore","S","I",0.5305097249407564,0.4694902750592435,12,1,7,11.0,1
"Vizianagaram","R","S",1.0,0.0,12,1,11,11.0,1
"Kadapa","I","I",0.0,1.0,13,1,4,12.0,1
"Guntur","I","I",0.0,1.0,13,1,3,12.0,1
"Chittoor","I","I",0.0,1.0,13,1,1,12.0,1
"Visakhapatnam","I","I",0.0,1.0,13,1,10,12.0,1
"Anantapur","I","I",0.0,1.0,13,1,0,12.0,1
"East-Godavari","I","R",0.8573789354924846,0.14262106450751538,13,1,2,12.0,1
"Prakasam","S","I",0.7777649739414355,0.22223502605856435,13,1,8,12.0,1
"Krishna","I","I",0.0546276383475504,0.9453723616524495,13,1,5,12.0,1
"West-Godavari","S","I",0.8034018448484248,0.19659815515157525,13,1,12,12.0,1
"Srikakulam","I","R",1.0,0.0,13,1,9,12.0,1
"Kurnool","I","I",0.0,1.0,13,1,6,12.0,1
"Nellore","S","I",0.8517390850627198,0.1482609149372801,13,1,7,12.0,1
"Vizianagaram","R","S",1.0,0.0,13,1,11,12.0,1
"Kadapa","R","S",1.0,0.0,14,1,4,13.0,1
"Guntur","I","I",0.17794870004920016,0.8220512999507997,14,1,3,13.0,1
"Chittoor","I","I",0.2265322082968369,0.7734677917031632,14,1,1,13.0,1
"Visakhapatnam","I","I",0.0,1.0,14,1,10,13.0,1
"Anantapur","I","R",0.2919354331430142,0.7080645668569858,14,1,0,13.0,1
"East-Godavari","I","I",0.4164639425116576,0.5835360574883425,14,1,2,13.0,1
"Prakasam","S","I",0.8538068054571412,0.1461931945428589,14,1,8,13.0,1
"Krishna","I","I",0.3505978929578202,0.6494021070421798,14,1,5,13.0,1
"West-Godavari","S","I",0.8856802760070368,0.11431972399296318,14,1,12,13.0,1
"Srikakulam","I","R",1.0,0.0,14,1,9,13.0,1
"Kurnool","I","I",0.27498331369537005,0.72501668630463,14,1,6,13.0,1
"Nellore","S","I",0.8088063030758652,0.19119369692413474,14,1,7,13.0,1
"Vizianagaram","R","S",1.0,0.0,14,1,11,13.0,1
"Kadapa","R","S",1.0,0.0,15,1,4,14.0,1
"Guntur","I","I",0.13020513270114964,0.8697948672988504,15,1,3,14.0,1
"Chittoor","I","I",0.1850490854144452,0.8149509145855547,15,1,1,14.0,1
"Visakhapatnam","I","I",0.0,1.0,15,1,10,14.0,1
"Anantapur","I","I",0.2250116067338,0.7749883932662,15,1,0,14.0,1
"East-Godavari","I","I",0.0,1.0,15,1,2,14.0,1
