"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Una","I","S",0.3538975200567469,0.6461024799432531,2,1,11,1.0,1
"Bilaspur","S","S",0.5834326134623427,0.41656738653765735,2,1,0,1.0,1
"Kangra","I","I",0.0,1.0,2,1,3,1.0,1
"Kinnaur","S","S",0.4641706370984578,0.5358293629015421,2,1,4,1.0,1
"Shimla","I","S",0.5281951018585741,0.47180489814142595,2,1,8,1.0,1
"Hamirpur","I","S",0.4740559556642214,0.5259440443357787,2,1,2,1.0,1
"Mandi","I","I",0.5051521619004333,0.4948478380995666,2,1,7,1.0,1
"Lahul-Spiti","S","I",0.5668830141353024,0.43311698586469766,2,1,6,1.0,1
"Sirmaur","S","S",0.6226401180185073,0.3773598819814926,2,1,9,1.0,1
"Solan","I","I",0.48652368799578505,0.513476312004215,2,1,10,1.0,1
"Chamba","I","I",0.38529662607985615,0.6147033739201438,2,1,1,1.0,1
"Kullu","S","I",0.6020331828831637,0.3979668171168364,2,1,5,1.0,1
"Una","I","S",0.8108278612131694,0.18917213878683056,3,1,11,2.0,1
"Bilaspur","S","S",0.5017252422701362,0.49827475772986396,3,1,0,2.0,1
"Kangra","I","S",0.5305983597076466,0.46940164029235343,3,1,3,2.0,1
"Kinnaur","I","S",0.5969400404912049,0.4030599595087951,3,1,4,2.0,1
"Shimla","I","I",0.6263007209618989,0.3736992790381012,3,1,8,2.0,1
"Hamirpur","S","I",0.5022440563988109,0.49775594360118913,3,1,2,2.0,1
"Mandi","I","S",0.6515470274472319,0.34845297255276814,3,1,7,2.0,1
"Lahul-Spiti","S","S",0.4120039227674696,0.5879960772325303,3,1,6,2.0,1
"Sirmaur","S","I",0.526554110392142,0.47344588960785816,3,1,9,2.0,1
"Solan","S","I",0.5475376024985884,0.45246239750141154,3,1,10,2.0,1
"Chamba","S","S",0.5607805764906287,0.4392194235093714,3,1,1,2.0,1
"Kullu","I","S",0.6501917753151454,0.34980822468485473,3,1,5,2.0,1
"Una","I","S",0.7778691002364971,0.2221308997635029,4,1,11,3.0,1
"Bilaspur","S","I",0.3368112856754324,0.6631887143245676,4,1,0,3.0,1
"Kangra","I","I",0.43718216662362597,0.5628178333763741,4,1,3,3.0,1
"Kinnaur","S","S",0.29609909930182254,0.7039009006981776,4,1,4,3.0,1
"Shimla","I","S",0.8223152975534193,0.17768470244658072,4,1,8,3.0,1
"Hamirpur","S","S",0.4068776435268244,0.5931223564731757,4,1,2,3.0,1
"Mandi","I","S",0.8364723633536587,0.16352763664634118,4,1,7,3.0,1
"Lahul-Spiti","S","S",0.23825676465255355,0.7617432353474465,4,1,6,3.0,1
"Sirmaur","S","S",0.3679076629341187,0.6320923370658812,4,1,9,3.0,1
"Solan","S","S",0.36155915935051275,0.6384408406494874,4,1,10,3.0,1
"Chamba","S","I",0.44912038254822323,0.5508796174517767,4,1,1,3.0,1
"Kullu","S","S",0.29784690152490995,0.70215309847509,4,1,5,3.0,1
"Una","S","S",0.22208323431548144,0.7779167656845186,5,1,11,4.0,1
"Bilaspur","S","S",0.39938048733541537,0.6006195126645847,5,1,0,4.0,1
"Kangra","I","S",1.0,0.0,5,1,3,4.0,1
"Kinnaur","I","S",0.5670665663193344,0.43293343368066545,5,1,4,4.0,1
"Shimla","I","I",0.5869587325410415,0.4130412674589586,5,1,8,4.0,1
"Hamirpur","S","I",0.368411649565807,0.631588350434193,5,1,2,4.0,1
"Mandi","I","I",0.6084877789986547,0.3915122210013453,5,1,7,4.0,1
"Lahul-Spiti","S","S",0.46084067190690026,0.5391593280930997,5,1,6,4.0,1
"Sirmaur","S","I",0.4429371549823554,0.5570628450176447,5,1,9,4.0,1
"Solan","S","S",0.43616574376989964,0.5638342562301004,5,1,10,4.0,1
"Chamba","S","I",0.47671309393532774,0.5232869060646723,5,1,1,4.0,1
