"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Kangra","I","I",NaN,NaN,2,1,3,1.0,1
"Hamirpur","I","R",0.39929622016399613,0.6007037798360039,2,1,2,1.0,1
"Mandi","I","R",0.43648357589488795,0.5635164241051122,2,1,7,1.0,1
"Chamba","I","I",0.21021435063797708,0.7897856493620229,2,1,1,1.0,1
"Una","I","I",0.5219136325235579,0.4780863674764422,2,1,11,1.0,1
"Sirmaur","R","S",0.35538706315557594,0.644612936844424,2,1,9,1.0,1
"Kullu","S","I",1.0,0.0,2,1,5,1.0,1
"Shimla","I","R",0.6458765780358283,0.35412342196417174,2,1,8,1.0,1
"Bilaspur","R","S",0.32711934592003167,0.6728806540799682,2,1,0,1.0,1
"Kinnaur","I","I",NaN,NaN,2,1,4,1.0,1
"Lahul-Spiti","R","R",0.38030719097697163,0.6196928090230284,2,1,6,1.0,1
"Solan","I","I",0.3916510794485624,0.6083489205514376,2,1,10,1.0,1
"Kangra","I","I",NaN,NaN,3,1,3,2.0,1
"Hamirpur","R","R",0.0,1.0,3,1,2,2.0,1
"Mandi","I","R",0.7417761676805359,0.25822383231946416,3,1,7,2.0,1
"Chamba","R","R",0.0,1.0,3,1,1,2.0,1
"Una","I","R",1.0,0.0,3,1,11,2.0,1
"Sirmaur","S","I",0.8287761135646741,0.17122388643532585,3,1,9,2.0,1
"Kullu","I","I",0.3985819289191974,0.6014180710808026,3,1,5,2.0,1
"Shimla","I","I",0.5620052213457212,0.4379947786542788,3,1,8,2.0,1
"Bilaspur","R","R",0.3149582044680979,0.6850417955319021,3,1,0,2.0,1
"Kinnaur","I","I",NaN,NaN,3,1,4,2.0,1
"Lahul-Spiti","S","I",0.7195209222161476,0.28047907778385234,3,1,6,2.0,1
"Solan","R","R",0.38163562250869526,0.6183643774913047,3,1,10,2.0,1
"Kangra","I","I",NaN,NaN,4,1,3,3.0,1
"Hamirpur","R","R",0.3887043153130527,0.6112956846869474,4,1,2,3.0,1
"Mandi","I","I",0.32347299497921383,0.6765270050207861,4,1,7,3.0,1
"Chamba","S","S",0.639529120254679,0.360470879745321,4,1,1,3.0,1
"Una","I","R",1.0,0.0,4,1,11,3.0,1
"Sirmaur","S","I",0.6936127647050357,0.30638723529496426,4,1,9,3.0,1
"Kullu","I","I",0.2107128838721625,0.7892871161278374,4,1,5,3.0,1
"Shimla","I","I",0.0,1.0,4,1,8,3.0,1
"Bilaspur","R","R",0.758784541205694,0.24121545879430603,4,1,0,3.0,1
"Kinnaur","I","I",NaN,NaN,4,1,4,3.0,1
"Lahul-Spiti","S","S",0.6094689337473299,0.39053106625267,4,1,6,3.0,1
"Solan","S","I",0.6126433592814231,0.38735664071857684,4,1,10,3.0,1
"Kangra","I","I",NaN,NaN,5,1,3,4.0,1
"Hamirpur","R","S",0.8750268605833839,0.12497313941661614,5,1,2,4.0,1
"Mandi","I","I",0.0,1.0,5,1,7,4.0,1
"Chamba","S","I",0.6239560326513102,0.37604396734868994,5,1,1,4.0,1
"Una","R","S",0.52163650301956,0.47836349698044006,5,1,11,4.0,1
"Sirmaur","S","I",0.648661998545639,0.35133800145436095,5,1,9,4.0,1
"Kullu","I","I",0.0,1.0,5,1,5,4.0,1
"Shimla","I","I",0.0,1.0,5,1,8,4.0,1
"Bilaspur","S","S",0.1673842441513426,0.8326157558486574,5,1,0,4.0,1
"Kinnaur","I","I",NaN,NaN,5,1,4,4.0,1
"Lahul-Spiti","S","I",0.5518334252353659,0.4481665747646341,5,1,6,4.0,1
"Solan","S","I",0.557083648822478,0.442916351177522,5,1,10,4.0,1
"Kangra","I","I",NaN,NaN,6,1,3,5.0,1
"Hamirpur","S","I",0.30176851893681356,0.6982314810631864,6,1,2,5.0,1
