"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Vizianagaram","R","S",0.5649629898144682,0.43503701018553176,2,2,11,1.0,2
"Guntur","R","S",0.8125087652317653,0.1874912347682348,2,2,3,1.0,2
"Prakasam","S","I",0.7155258190586756,0.2844741809413244,2,2,8,1.0,2
"West-Godavari","S","I",0.7136795609888676,0.2863204390111323,2,2,12,1.0,2
"Chittoor","I","I",0.26293818228097393,0.7370618177190261,2,2,1,1.0,2
"Kadapa","S","S",0.7142741547436174,0.28572584525638256,2,2,4,1.0,2
"Visakhapatnam","I","I",0.35435400013471274,0.6456459998652873,2,2,10,1.0,2
"Srikakulam","R","S",0.6690349851786803,0.3309650148213196,2,2,9,1.0,2
"Anantapur","S","S",0.7170198689946155,0.28298013100538455,2,2,0,1.0,2
"Krishna","I","R",0.35360043017323534,0.6463995698267647,2,2,5,1.0,2
"Kurnool","I","I",0.17829257603635978,0.8217074239636402,2,2,6,1.0,2
"East-Godavari","I","R",0.3645206862591818,0.6354793137408182,2,2,2,1.0,2
"Nellore","I","I",0.269196535968032,0.7308034640319679,2,2,7,1.0,2
"Vizianagaram","S","I",0.6259122770691987,0.3740877229308012,3,2,11,2.0,2
"Guntur","S","S",0.7943393174358279,0.20566068256417208,3,2,3,2.0,2
"Prakasam","I","I",0.4360680027236289,0.5639319972763712,3,2,8,2.0,2
"West-Godavari","I","I",0.4383615946123748,0.5616384053876251,3,2,12,2.0,2
"Chittoor","R","R",0.46517533332890904,0.534824666671091,3,2,1,2.0,2
"Kadapa","S","I",0.7908725540170948,0.20912744598290522,3,2,4,2.0,2
"Visakhapatnam","I","R",0.4541110625238742,0.5458889374761259,3,2,10,2.0,2
"Srikakulam","S","I",0.8304565036837924,0.16954349631620752,3,2,9,2.0,2
"Anantapur","I","R",0.43625332318943194,0.563746676810568,3,2,0,2.0,2
"Krishna","I","R",0.45226911949455173,0.5477308805054482,3,2,5,2.0,2
"Kurnool","I","R",0.45052907026373884,0.549470929736261,3,2,6,2.0,2
"East-Godavari","R","R",0.5590399499025922,0.44096005009740785,3,2,2,2.0,2
"Nellore","R","S",0.4937023151182706,0.5062976848817293,3,2,7,2.0,2
"Vizianagaram","S","S",0.5258108230960952,0.4741891769039049,4,2,11,3.0,2
"Guntur","S","S",0.6889493796009717,0.3110506203990285,4,2,3,3.0,2
"Prakasam","I","I",0.17517443470813526,0.8248255652918648,4,2,8,3.0,2
"West-Godavari","R","S",1.0,0.0,4,2,12,3.0,2
"Chittoor","S","S",0.6855135433503405,0.3144864566496594,4,2,1,3.0,2
"Kadapa","I","I",0.16549296802795946,0.8345070319720406,4,2,4,3.0,2
"Visakhapatnam","I","I",0.17126360529901297,0.8287363947009869,4,2,10,3.0,2
"Srikakulam","S","S",0.6887074587481179,0.311292541251882,4,2,9,3.0,2
"Anantapur","I","I",0.1713652198202099,0.8286347801797901,4,2,0,3.0,2
"Krishna","I","I",0.16785850090415486,0.8321414990958451,4,2,5,3.0,2
"Kurnool","I","I",0.16605902838399547,0.8339409716160046,4,2,6,3.0,2
"East-Godavari","S","I",0.6324793687306315,0.3675206312693685,4,2,2,3.0,2
"Nellore","S","S",0.6870674744891495,0.31293252551085043,4,2,7,3.0,2
"Vizianagaram","I","I",0.06096394023583507,0.9390360597641649,5,2,11,4.0,2
"Guntur","I","I",0.04863360372003417,0.9513663962799658,5,2,3,4.0,2
"Prakasam","I","I",0.0734363319239678,0.9265636680760322,5,2,8,4.0,2
"West-Godavari","R","R",NaN,NaN,5,2,12,4.0,2
"Chittoor","I","I",0.07136573672655772,0.9286342632734422,5,2,1,4.0,2
"Kadapa","I","I",0.10552037958104078,0.8944796204189593,5,2,4,4.0,2
