"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Vizianagaram","R","S",0.6349717911425609,0.3650282088574392,2,2,11,1.0,2
"Guntur","R","S",0.6816414160691385,0.31835858393086147,2,2,3,1.0,2
"Prakasam","S","I",0.7155258190586756,0.2844741809413244,2,2,8,1.0,2
"West-Godavari","S","I",0.7136795609888676,0.2863204390111323,2,2,12,1.0,2
"Chittoor","I","I",0.3351213348017867,0.6648786651982134,2,2,1,1.0,2
"Kadapa","S","S",0.7142741547436174,0.28572584525638256,2,2,4,1.0,2
"Visakhapatnam","I","I",0.35435400013471274,0.6456459998652873,2,2,10,1.0,2
"Srikakulam","R","R",0.4668992945830462,0.5331007054169538,2,2,9,1.0,2
"Anantapur","S","S",0.7170198689946155,0.28298013100538455,2,2,0,1.0,2
"Krishna","I","R",0.35360043017323534,0.6463995698267647,2,2,5,1.0,2
"Kurnool","I","I",0.2676013362784473,0.7323986637215528,2,2,6,1.0,2
"East-Godavari","I","R",0.3645206862591818,0.6354793137408182,2,2,2,1.0,2
"Nellore","I","I",0.269196535968032,0.7308034640319679,2,2,7,1.0,2
"Vizianagaram","S","I",0.714573384530783,0.28542661546921694,3,2,11,2.0,2
"Guntur","S","S",0.7212638667565859,0.27873613324341406,3,2,3,2.0,2
"Prakasam","I","I",0.4360680027236289,0.5639319972763712,3,2,8,2.0,2
"West-Godavari","I","I",0.4383615946123748,0.5616384053876251,3,2,12,2.0,2
"Chittoor","R","S",0.5368176475351117,0.46318235246488826,3,2,1,2.0,2
"Kadapa","S","I",0.7908725540170948,0.20912744598290522,3,2,4,2.0,2
"Visakhapatnam","I","R",0.4541110625238742,0.5458889374761259,3,2,10,2.0,2
"Srikakulam","S","I",0.7183942498626503,0.28160575013734973,3,2,9,2.0,2
"Anantapur","I","R",0.43625332318943194,0.563746676810568,3,2,0,2.0,2
"Krishna","I","R",0.45226911949455173,0.5477308805054482,3,2,5,2.0,2
"Kurnool","I","R",0.45052907026373884,0.549470929736261,3,2,6,2.0,2
"East-Godavari","R","R",0.5590399499025922,0.44096005009740785,3,2,2,2.0,2
"Nellore","R","S",0.4937023151182706,0.5062976848817293,3,2,7,2.0,2
"Vizianagaram","S","S",0.632350112956671,0.36764988704332907,4,2,11,3.0,2
"Guntur","S","S",0.6402390529192924,0.3597609470807076,4,2,3,3.0,2
"Prakasam","I","I",0.17517443470813526,0.8248255652918648,4,2,8,3.0,2
"West-Godavari","R","S",1.0,0.0,4,2,12,3.0,2
"Chittoor","S","S",0.6354764439842436,0.3645235560157564,4,2,1,3.0,2
"Kadapa","I","I",0.16549296802795946,0.8345070319720406,4,2,4,3.0,2
"Visakhapatnam","I","I",0.17126360529901297,0.8287363947009869,4,2,10,3.0,2
