"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Una","I","I",0.3299946345122292,0.6700053654877708,2,2,11,1.0,2
"Bilaspur","R","S",0.32711934592003167,0.6728806540799682,2,2,0,1.0,2
"Kangra","I","I",0.360469792331577,0.639530207668423,2,2,3,1.0,2
"Kullu","S","I",1.0,0.0,2,2,5,1.0,2
"Shimla","I","I",0.2892763707239341,0.7107236292760658,2,2,8,1.0,2
"Lahul-Spiti","R","R",0.34639149285480914,0.6536085071451909,2,2,6,1.0,2
"Chamba","I","I",0.25849636710478285,0.7415036328952171,2,2,1,1.0,2
"Hamirpur","I","R",0.36588567072459405,0.634114329275406,2,2,2,1.0,2
"Kinnaur","I","R",0.4212219697937994,0.5787780302062006,2,2,4,1.0,2
"Mandi","I","I",0.2845553797257364,0.7154446202742636,2,2,7,1.0,2
"Solan","I","I",0.2709182358600292,0.7290817641399707,2,2,10,1.0,2
"Sirmaur","R","R",0.35538706315557594,0.644612936844424,2,2,9,1.0,2
"Una","I","R",0.5050095390319943,0.49499046096800564,3,2,11,2.0,2
"Bilaspur","R","S",0.35079817294419124,0.6492018270558088,3,2,0,2.0,2
"Kangra","I","I",0.7682347238688302,0.23176527613116982,3,2,3,2.0,2
"Kullu","I","R",0.4892117365546491,0.5107882634453508,3,2,5,2.0,2
"Shimla","I","I",0.5020195831745184,0.49798041682548144,3,2,8,2.0,2
"Lahul-Spiti","S","I",0.8849425890705692,0.11505741092943082,3,2,6,2.0,2
"Chamba","R","R",0.4090506763469348,0.5909493236530652,3,2,1,2.0,2
"Hamirpur","R","S",0.41126134756152183,0.5887386524384782,3,2,2,2.0,2
"Kinnaur","I","R",0.5269323229365943,0.47306767706340574,3,2,4,2.0,2
"Mandi","I","R",0.49434616559766426,0.5056538344023359,3,2,7,2.0,2
"Solan","R","S",0.37747939353736804,0.622520606462632,3,2,10,2.0,2
"Sirmaur","S","I",0.8785550226231416,0.1214449773768584,3,2,9,2.0,2
"Una","I","I",0.28319710628575345,0.7168028937142465,4,2,11,3.0,2
"Bilaspur","R","S",0.7844895078968138,0.21551049210318618,4,2,0,3.0,2
"Kangra","I","I",0.6006628736575249,0.39933712634247504,4,2,3,3.0,2
"Kullu","I","I",0.25256169945065027,0.7474383005493497,4,2,5,3.0,2
"Shimla","I","I",0.21959246814924918,0.7804075318507508,4,2,8,3.0,2
"Lahul-Spiti","S","I",0.752190644773255,0.24780935522674494,4,2,6,3.0,2
"Chamba","S","S",0.7367997010351838,0.2632002989648163,4,2,1,3.0,2
"Hamirpur","R","S",0.7566498839091821,0.2433501160908178,4,2,2,3.0,2
"Kinnaur","I","I",0.240303650807865,0.7596963491921351,4,2,4,3.0,2
"Mandi","I","R",0.2112698696097802,0.7887301303902199,4,2,7,3.0,2
"Solan","S","I",0.7499721271229434,0.25002787287705674,4,2,10,3.0,2
"Sirmaur","S","S",0.7166053860132617,0.28339461398673826,4,2,9,3.0,2
"Una","R","S",0.6873971046741424,0.31260289532585755,5,2,11,4.0,2
"Bilaspur","S","I",0.34043105048377115,0.6595689495162288,5,2,0,4.0,2
"Kangra","I","R",1.0,0.0,5,2,3,4.0,2
"Kullu","I","R",0.3782036340243654,0.6217963659756347,5,2,5,4.0,2
"Shimla","I","I",0.35558887352589674,0.6444111264741033,5,2,8,4.0,2
"Lahul-Spiti","S","S",0.6826251736188443,0.3173748263811557,5,2,6,4.0,2
"Chamba","S","I",0.6831634763400521,0.3168365236599478,5,2,1,4.0,2
"Hamirpur","R","S",0.9414432953438904,0.05855670465610971,5,2,2,4.0,2
"Kinnaur","I","I",0.0,1.0,5,2,4,4.0,2
"Mandi","I","R",0.34985948659904986,0.6501405134009501,5,2,7,4.0,2
"Solan","S","I",0.6552309908483067,0.34476900915169323,5,2,10,4.0,2
"Sirmaur","S","S",0.6127782475917868,0.38722175240821327,5,2,9,4.0,2
"Una","S","I",0.720350389307167,0.279649610692833,6,2,11,5.0,2
"Bilaspur","S","I",0.8693805782240854,0.13061942177591462,6,2,0,5.0,2
"Kangra","I","I",0.0,1.0,6,2,3,5.0,2
"Kullu","I","R",0.19384072899280988,0.8061592710071902,6,2,5,5.0,2
"Shimla","I","I",0.1554020521708395,0.8445979478291605,6,2,8,5.0,2
"Lahul-Spiti","I","I",0.1067623954316768,0.8932376045683231,6,2,6,5.0,2
