"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Salem","I","I",0.19196364254964463,0.8080363574503554,2,7,18,1.0,2
"Ariyalur","S","I",0.968181464702423,0.031818535297577076,2,7,0,1.0,2
"Dindigul","I","R",0.18211899525122696,0.817881004748773,2,7,5,1.0,2
"Thanjavur","I","I",0.16037579612708946,0.8396242038729106,2,7,20,1.0,2
"Tirunelveli","I","I",0.17438743879217164,0.8256125612078283,2,7,24,1.0,2
"Nagapattinam","R","R",0.3361042573180363,0.6638957426819637,2,7,12,1.0,2
"Namakkal","I","I",0.15040384431568896,0.8495961556843111,2,7,13,1.0,2
"Virudhunagar","I","I",0.1595210575088896,0.8404789424911104,2,7,31,1.0,2
"Tiruvallur","I","I",0.12342104584829454,0.8765789541517054,2,7,26,1.0,2
"Cuddalore","R","S",0.31155115408006995,0.68844884591993,2,7,3,1.0,2
"Krishnagiri","I","I",0.15999233874662558,0.8400076612533744,2,7,10,1.0,2
"Viluppuram","I","I",0.15900799789081824,0.8409920021091817,2,7,30,1.0,2
"Kanyakumari","R","R",0.0,1.0,2,7,8,1.0,2
"Pudukkottai","I","I",0.19323817309317512,0.8067618269068249,2,7,16,1.0,2
"Tiruchirappalli","I","I",0.15193712981686833,0.8480628701831316,2,7,23,1.0,2
"Vellore","I","I",0.15875072680484595,0.8412492731951541,2,7,29,1.0,2
"Theni","I","I",0.18160507905080495,0.8183949209491951,2,7,21,1.0,2
"Tiruvarur","I","R",0.15142885174269224,0.8485711482573078,2,7,28,1.0,2
"Coimbatore","I","I",0.18422160287492598,0.815778397125074,2,7,2,1.0,2
"Nilgiris","I","I",0.15087850325338648,0.8491214967466134,2,7,14,1.0,2
"Erode","I","I",0.1819016833877976,0.8180983166122024,2,7,6,1.0,2
"Thoothukudi","R","S",0.24714624363093146,0.7528537563690686,2,7,22,1.0,2
"Sivaganga","I","I",0.18566235461466538,0.8143376453853346,2,7,19,1.0,2
"Tiruppur","I","I",0.15977030167129952,0.8402296983287004,2,7,25,1.0,2
"Dharmapuri","I","R",0.1604212006755492,0.8395787993244508,2,7,4,1.0,2
"Madurai","I","I",0.18441694561182748,0.8155830543881725,2,7,11,1.0,2
"Ramanathapuram","I","I",0.15017609500381035,0.8498239049961896,2,7,17,1.0,2
