"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Theni","I","I",0.0,1.0,2,12,21,1.0,2
"Kanyakumari","R","R",NaN,NaN,2,12,8,1.0,2
"Tiruchirappalli","I","I",0.15939014123469442,0.8406098587653056,2,12,23,1.0,2
"Tiruvannamalai","I","I",NaN,NaN,2,12,27,1.0,2
"Perambalur","R","R",NaN,NaN,2,12,15,1.0,2
"Pudukkottai","I","I",0.0,1.0,2,12,16,1.0,2
"Vellore","I","I",NaN,NaN,2,12,29,1.0,2
"Chennai","I","I",NaN,NaN,2,12,1,1.0,2
"Erode","I","I",0.0,1.0,2,12,6,1.0,2
"Namakkal","I","I",0.0,1.0,2,12,13,1.0,2
"Madurai","I","R",0.33195919292751436,0.6680408070724856,2,12,11,1.0,2
"Sivaganga","I","I",0.29515376241491276,0.7048462375850872,2,12,19,1.0,2
"Tiruvallur","I","I",NaN,NaN,2,12,26,1.0,2
"Tirunelveli","I","I",0.0,1.0,2,12,24,1.0,2
"Virudhunagar","I","I",0.0,1.0,2,12,31,1.0,2
"Dindigul","I","I",0.0,1.0,2,12,5,1.0,2
"Ramanathapuram","I","I",0.0,1.0,2,12,17,1.0,2
"Karur","S","I",0.857056318575268,0.142943681424732,2,12,9,1.0,2
"Tiruppur","I","I",0.0,1.0,2,12,25,1.0,2
"Thoothukudi","R","R",NaN,NaN,2,12,22,1.0,2
"Tiruvarur","I","R",0.4532536246288391,0.5467463753711608,2,12,28,1.0,2
"Kanchipuram","R","R",NaN,NaN,2,12,7,1.0,2
"Nilgiris","I","I",0.0,1.0,2,12,14,1.0,2
"Thanjavur","I","I",0.0,1.0,2,12,20,1.0,2
"Ariyalur","S","S",0.6689382933192167,0.3310617066807832,2,12,0,1.0,2
"Nagapattinam","R","R",NaN,NaN,2,12,12,1.0,2
"Coimbatore","I","I",0.0,1.0,2,12,2,1.0,2
"Viluppuram","I","R",0.663973141709987,0.336026858290013,2,12,30,1.0,2
"Cuddalore","R","R",NaN,NaN,2,12,3,1.0,2
"Salem","I","I",0.2652721654423067,0.7347278345576933,2,12,18,1.0,2
"Krishnagiri","I","I",0.0,1.0,2,12,10,1.0,2
"Dharmapuri","I","I",0.0,1.0,2,12,4,1.0,2
"Theni","I","I",0.3343597391506182,0.6656402608493819,3,12,21,2.0,2
"Kanyakumari","R","R",NaN,NaN,3,12,8,2.0,2
"Tiruchirappalli","I","I",0.11293702157920608,0.8870629784207938,3,12,23,2.0,2
"Tiruvannamalai","I","I",NaN,NaN,3,12,27,2.0,2
"Perambalur","R","R",NaN,NaN,3,12,15,2.0,2
"Pudukkottai","I","I",0.0,1.0,3,12,16,2.0,2
"Vellore","I","I",NaN,NaN,3,12,29,2.0,2
"Chennai","I","I",NaN,NaN,3,12,1,2.0,2
"Erode","I","I",0.0,1.0,3,12,6,2.0,2
"Namakkal","I","I",0.0,1.0,3,12,13,2.0,2
"Madurai","I","I",0.25523270827520106,0.7447672917247989,3,12,11,2.0,2
"Sivaganga","I","I",0.0,1.0,3,12,19,2.0,2
"Tiruvallur","I","I",NaN,NaN,3,12,26,2.0,2
"Tirunelveli","I","R",1.0,0.0,3,12,24,2.0,2
"Virudhunagar","R","R",NaN,NaN,3,12,31,2.0,2
"Dindigul","I","I",0.0,1.0,3,12,5,2.0,2
"Ramanathapuram","I","I",0.0,1.0,3,12,17,2.0,2
"Karur","I","I",0.0,1.0,3,12,9,2.0,2
"Tiruppur","I","I",0.0,1.0,3,12,25,2.0,2
"Thoothukudi","R","R",NaN,NaN,3,12,22,2.0,2
"Tiruvarur","I","I",0.49976195429714854,0.5002380457028514,3,12,28,2.0,2
"Kanchipuram","S","S",NaN,NaN,3,12,7,2.0,2
"Nilgiris","I","I",0.15843941451249452,0.8415605854875055,3,12,14,2.0,2
"Thanjavur","I","I",0.0,1.0,3,12,20,2.0,2
"Ariyalur","I","I",0.0,1.0,3,12,0,2.0,2
"Nagapattinam","S","I",1.0,0.0,3,12,12,2.0,2
"Coimbatore","I","I",0.0,1.0,3,12,2,2.0,2
"Viluppuram","R","S",0.507285816065307,0.49271418393469313,3,12,30,2.0,2
"Cuddalore","R","R",0.0,1.0,3,12,3,2.0,2
"Salem","I","I",0.25932870352043635,0.7406712964795636,3,12,18,2.0,2
"Krishnagiri","I","I",0.0,1.0,3,12,10,2.0,2
"Dharmapuri","I","I",0.0,1.0,3,12,4,2.0,2
"Theni","I","R",0.28963322772642636,0.7103667722735737,4,12,21,3.0,2
"Kanyakumari","S","S",NaN,NaN,4,12,8,3.0,2
"Tiruchirappalli","I","I",0.23333042497233866,0.7666695750276613,4,12,23,3.0,2
"Tiruvannamalai","I","I",NaN,NaN,4,12,27,3.0,2
"Perambalur","S","I",1.0,0.0,4,12,15,3.0,2
"Pudukkottai","I","I",0.0,1.0,4,12,16,3.0,2
"Vellore","I","I",NaN,NaN,4,12,29,3.0,2
"Chennai","I","I",NaN,NaN,4,12,1,3.0,2
"Erode","I","I",0.0,1.0,4,12,6,3.0,2
"Namakkal","I","I",0.12215513320278865,0.8778448667972113,4,12,13,3.0,2
"Madurai","I","I",0.33356583601734396,0.666434163982656,4,12,11,3.0,2
"Sivaganga","I","I",0.0,1.0,4,12,19,3.0,2
"Tiruvallur","I","I",NaN,NaN,4,12,26,3.0,2
"Tirunelveli","I","R",1.0,0.0,4,12,24,3.0,2
"Virudhunagar","R","R",NaN,NaN,4,12,31,3.0,2
"Dindigul","I","I",0.0,1.0,4,12,5,3.0,2
"Ramanathapuram","I","I",0.0,1.0,4,12,17,3.0,2
"Karur","I","I",0.21498771247338253,0.7850122875266174,4,12,9,3.0,2
"Tiruppur","I","I",0.0,1.0,4,12,25,3.0,2
"Thoothukudi","R","R",NaN,NaN,4,12,22,3.0,2
"Tiruvarur","I","I",0.0,1.0,4,12,28,3.0,2
"Kanchipuram","S","S",0.0,1.0,4,12,7,3.0,2
"Nilgiris","I","R",0.18070410870377115,0.8192958912962288,4,12,14,3.0,2
"Thanjavur","I","I",0.0,1.0,4,12,20,3.0,2
"Ariyalur","R","R",NaN,NaN,4,12,0,3.0,2
"Nagapattinam","I","I",0.0,1.0,4,12,12,3.0,2
"Coimbatore","I","I",0.0,1.0,4,12,2,3.0,2
"Viluppuram","S","I",0.7121830922701309,0.2878169077298691,4,12,30,3.0,2
"Cuddalore","R","S",1.0,0.0,4,12,3,3.0,2
"Salem","I","I",0.0,1.0,4,12,18,3.0,2
"Krishnagiri","I","I",0.0,1.0,4,12,10,3.0,2
"Dharmapuri","I","I",0.0,1.0,4,12,4,3.0,2
"Theni","I","R",0.25593094999708715,0.7440690500029129,5,12,21,4.0,2
"Kanyakumari","S","S",NaN,NaN,5,12,8,4.0,2
"Tiruchirappalli","I","R",0.376031584399638,0.623968415600362,5,12,23,4.0,2
"Tiruvannamalai","I","I",NaN,NaN,5,12,27,4.0,2
"Perambalur","S","I",1.0,0.0,5,12,15,4.0,2
"Pudukkottai","I","I",0.0,1.0,5,12,16,4.0,2
