"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Tirunelveli","I","I",0.24102025434403865,0.7589797456559613,2,2,24,1.0,2
"Madurai","I","I",0.11131103016839589,0.8886889698316041,2,2,11,1.0,2
"Cuddalore","R","R",0.3666174599271395,0.6333825400728605,2,2,3,1.0,2
"Tiruvallur","I","I",0.1686206324384861,0.831379367561514,2,2,26,1.0,2
"Viluppuram","I","I",0.1690128123179138,0.8309871876820861,2,2,30,1.0,2
"Salem","I","I",0.17445947029327333,0.8255405297067266,2,2,18,1.0,2
"Sivaganga","I","I",0.16780014387111314,0.8321998561288869,2,2,19,1.0,2
"Dharmapuri","I","R",0.15059157606038565,0.8494084239396144,2,2,4,1.0,2
"Karur","S","I",0.9645621280887328,0.03543787191126724,2,2,9,1.0,2
"Pudukkottai","I","I",0.17126101735713947,0.8287389826428605,2,2,16,1.0,2
"Nilgiris","I","R",0.17050091827050617,0.8294990817294938,2,2,14,1.0,2
"Thoothukudi","R","R",0.3308356248884514,0.6691643751115486,2,2,22,1.0,2
"Vellore","I","I",0.15027784987039305,0.849722150129607,2,2,29,1.0,2
"Tiruvannamalai","I","R",0.1625211107944165,0.8374788892055833,2,2,27,1.0,2
"Kanyakumari","R","R",0.0,1.0,2,2,8,1.0,2
"Thanjavur","I","I",0.1549341532667899,0.8450658467332101,2,2,20,1.0,2
"Nagapattinam","R","R",0.3361042573180363,0.6638957426819637,2,2,12,1.0,2
"Chennai","I","I",0.17643161877308391,0.823568381226916,2,2,1,1.0,2
"Tiruvarur","I","I",0.1664350756744006,0.8335649243255995,2,2,28,1.0,2
"Tiruppur","I","I",0.18176040986031888,0.8182395901396811,2,2,25,1.0,2
"Virudhunagar","I","R",0.12476028953145207,0.875239710468548,2,2,31,1.0,2
"Krishnagiri","I","I",0.15531354486269833,0.8446864551373017,2,2,10,1.0,2
"Ramanathapuram","I","I",0.1646948627018634,0.8353051372981366,2,2,17,1.0,2
"Tiruchirappalli","I","I",0.16624356952279998,0.8337564304772,2,2,23,1.0,2
"Perambalur","R","R",0.3105894821062755,0.6894105178937244,2,2,15,1.0,2
"Ariyalur","S","I",0.9624014130127315,0.037598586987268555,2,2,0,1.0,2
"Dindigul","I","R",0.15571048028142445,0.8442895197185756,2,2,5,1.0,2
"Erode","I","I",0.16339649331043613,0.8366035066895638,2,2,6,1.0,2
"Coimbatore","I","I",0.11110617996065082,0.8888938200393492,2,2,2,1.0,2
"Theni","I","R",0.14858953901661764,0.8514104609833825,2,2,21,1.0,2
"Namakkal","I","I",0.1647450696509431,0.835254930349057,2,2,13,1.0,2
"Kanchipuram","R","R",0.3660869333445421,0.6339130666554579,2,2,7,1.0,2
"Tirunelveli","I","I",0.3202579275865571,0.6797420724134429,3,2,24,2.0,2
"Madurai","I","I",0.14233635630691302,0.8576636436930869,3,2,11,2.0,2
"Cuddalore","R","S",0.44850626048431186,0.551493739515688,3,2,3,2.0,2
"Tiruvallur","I","I",0.2568887541338982,0.7431112458661018,3,2,26,2.0,2
"Viluppuram","R","S",0.4026225483851426,0.5973774516148573,3,2,30,2.0,2
"Salem","I","R",0.17325418820565724,0.8267458117943428,3,2,18,2.0,2
