"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Tiruvarur","I","S",0.2626994585596215,0.7373005414403785,2,1,28,1.0,1
"Coimbatore","I","I",0.1472919801700239,0.852708019829976,2,1,2,1.0,1
"Thoothukudi","S","I",1.0,0.0,2,1,22,1.0,1
"Madurai","I","I",0.10618479264411887,0.8938152073558812,2,1,11,1.0,1
"Salem","I","I",0.23222035021075393,0.7677796497892461,2,1,18,1.0,1
"Kanyakumari","S","I",1.0,0.0,2,1,8,1.0,1
"Kanchipuram","S","S",0.7739027354080679,0.22609726459193222,2,1,7,1.0,1
"Karur","S","I",0.8083128129889805,0.1916871870110195,2,1,9,1.0,1
"Dindigul","I","I",0.15852244769649948,0.8414775523035005,2,1,5,1.0,1
"Theni","I","I",0.1135257161289019,0.8864742838710982,2,1,21,1.0,1
"Perambalur","S","I",0.7932190321620718,0.20678096783792832,2,1,15,1.0,1
"Viluppuram","I","I",0.24737028563712993,0.75262971436287,2,1,30,1.0,1
"Cuddalore","S","I",0.6770407545178867,0.3229592454821134,2,1,3,1.0,1
"Erode","I","I",0.1582007726763552,0.8417992273236448,2,1,6,1.0,1
"Pudukkottai","I","I",0.30663323503547446,0.6933667649645255,2,1,16,1.0,1
"Tiruvallur","I","I",0.0,1.0,2,1,26,1.0,1
"Dharmapuri","I","I",0.26432232380636456,0.7356776761936354,2,1,4,1.0,1
"Nilgiris","I","S",0.24384164587423823,0.7561583541257618,2,1,14,1.0,1
"Sivaganga","I","I",0.2677842807915716,0.7322157192084283,2,1,19,1.0,1
"Namakkal","I","I",0.22623043902231196,0.773769560977688,2,1,13,1.0,1
"Ramanathapuram","I","I",0.1675857982945403,0.8324142017054598,2,1,17,1.0,1
"Krishnagiri","I","I",0.27273258997520866,0.7272674100247913,2,1,10,1.0,1
"Tiruvannamalai","I","S",0.2275208934828529,0.7724791065171471,2,1,27,1.0,1
"Thanjavur","I","I",0.19401526423759802,0.8059847357624019,2,1,20,1.0,1
"Virudhunagar","I","I",0.1592459694283336,0.8407540305716665,2,1,31,1.0,1
"Tiruppur","I","I",0.13672460316426985,0.8632753968357302,2,1,25,1.0,1
"Ariyalur","S","S",0.7819375987642674,0.21806240123573264,2,1,0,1.0,1
"Vellore","I","I",0.07176491937132434,0.9282350806286757,2,1,29,1.0,1
"Nagapattinam","S","S",0.7553182749832273,0.24468172501677254,2,1,12,1.0,1
"Tiruchirappalli","I","I",0.24103107178080038,0.7589689282191996,2,1,23,1.0,1
"Chennai","I","I",0.17109162895841631,0.8289083710415837,2,1,1,1.0,1
"Tirunelveli","I","I",0.35354462502157,0.64645537497843,2,1,24,1.0,1
"Tiruvarur","I","I",0.42748743133497263,0.5725125686650274,3,1,28,2.0,1
"Coimbatore","I","I",0.45024992596415375,0.5497500740358463,3,1,2,2.0,1
"Thoothukudi","S","S",0.500593739967915,0.499406260032085,3,1,22,2.0,1
"Madurai","I","I",0.46023872189014786,0.5397612781098521,3,1,11,2.0,1
"Salem","I","I",0.4263554811293916,0.5736445188706083,3,1,18,2.0,1
"Kanyakumari","S","S",0.0,1.0,3,1,8,2.0,1
"Kanchipuram","S","I",0.6147450120341055,0.3852549879658944,3,1,7,2.0,1
"Karur","I","I",0.42436963380959286,0.5756303661904072,3,1,9,2.0,1
"Dindigul","S","I",0.5013927946032248,0.4986072053967752,3,1,5,2.0,1
"Theni","S","I",0.4508088807266725,0.5491911192733274,3,1,21,2.0,1
