"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Namakkal","I","S",0.3689851953156344,0.6310148046843655,2,1,13,1.0,1
"Thoothukudi","S","I",1.0,0.0,2,1,22,1.0,1
"Virudhunagar","I","I",0.2747406048896828,0.7252593951103171,2,1,31,1.0,1
"Cuddalore","S","I",0.8074231382796911,0.1925768617203088,2,1,3,1.0,1
"Theni","I","S",0.2039031779590444,0.7960968220409557,2,1,21,1.0,1
"Dindigul","I","I",0.2736631439670264,0.7263368560329735,2,1,5,1.0,1
"Dharmapuri","I","I",0.4181249019009593,0.5818750980990407,2,1,4,1.0,1
"Erode","I","I",0.2731836766276488,0.7268163233723511,2,1,6,1.0,1
"Kanchipuram","S","I",0.8725424680401538,0.12745753195984608,2,1,7,1.0,1
"Tiruvallur","I","I",0.0,1.0,2,1,26,1.0,1
"Ariyalur","S","I",0.8776262415771721,0.12237375842282798,2,1,0,1.0,1
"Nagapattinam","S","I",0.8606054933148174,0.13939450668518252,2,1,12,1.0,1
"Vellore","I","I",0.13391914229366678,0.8660808577063333,2,1,29,1.0,1
"Coimbatore","I","S",0.2567645947428236,0.7432354052571764,2,1,2,1.0,1
"Thanjavur","I","I",0.32497953761333287,0.6750204623866671,2,1,20,1.0,1
"Madurai","I","I",0.19198382286616839,0.8080161771338316,2,1,11,1.0,1
"Tirunelveli","I","S",0.5223981810218277,0.4776018189781723,2,1,24,1.0,1
"Chennai","I","I",0.292191703411948,0.707808296588052,2,1,1,1.0,1
"Tiruppur","I","I",0.24055888784965723,0.7594411121503428,2,1,25,1.0,1
"Tiruvarur","I","S",0.41609182102491177,0.5839081789750882,2,1,28,1.0,1
"Kanyakumari","S","I",1.0,0.0,2,1,8,1.0,1
"Salem","I","S",0.37691367484887894,0.6230863251511211,2,1,18,1.0,1
"Viluppuram","I","I",0.39662686931936736,0.6033731306806326,2,1,30,1.0,1
"Perambalur","S","I",0.8846872779458437,0.1153127220541564,2,1,15,1.0,1
"Tiruvannamalai","I","S",0.37069983035043325,0.6293001696495668,2,1,27,1.0,1
"Pudukkottai","I","I",0.46934859272449087,0.5306514072755091,2,1,16,1.0,1
"Sivaganga","I","I",0.4224445512518487,0.5775554487481512,2,1,19,1.0,1
"Krishnagiri","I","I",0.4285779937174724,0.5714220062825276,2,1,10,1.0,1
"Nilgiris","I","S",0.39207827890800895,0.607921721091991,2,1,14,1.0,1
"Karur","S","I",0.8939966660446445,0.10600333395535566,2,1,9,1.0,1
"Ramanathapuram","I","I",0.2870637833028256,0.7129362166971744,2,1,17,1.0,1
"Tiruchirappalli","I","I",0.3884368043016621,0.6115631956983378,2,1,23,1.0,1
"Namakkal","S","S",0.8008243403819004,0.1991756596180996,3,1,13,2.0,1
"Thoothukudi","S","I",0.6671942267047155,0.3328057732952845,3,1,22,2.0,1
