"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Coimbatore","I","I",0.07832120624044957,0.9216787937595504,2,1,2,1.0,1
"Tiruvannamalai","I","R",0.18344649942106053,0.8165535005789394,2,1,27,1.0,1
"Perambalur","R","S",0.44771004473221854,0.5522899552677816,2,1,15,1.0,1
"Kanchipuram","R","S",0.44597643248760405,0.554023567512396,2,1,7,1.0,1
"Vellore","I","I",0.07170580095242698,0.928294199047573,2,1,29,1.0,1
"Erode","I","I",0.09533661044145003,0.90466338955855,2,1,6,1.0,1
"Theni","I","I",0.10515430962693217,0.8948456903730678,2,1,21,1.0,1
"Ariyalur","S","I",0.9529108927651353,0.04708910723486474,2,1,0,1.0,1
"Tirunelveli","I","I",0.34224618601378926,0.6577538139862108,2,1,24,1.0,1
"Sivaganga","I","I",0.2210048268929472,0.7789951731070528,2,1,19,1.0,1
"Thanjavur","I","I",0.07213778090276664,0.9278622190972333,2,1,20,1.0,1
"Thoothukudi","R","R",NaN,NaN,2,1,22,1.0,1
"Tiruvallur","I","I",0.0,1.0,2,1,26,1.0,1
"Tiruvarur","I","I",0.19616169994274707,0.8038383000572529,2,1,28,1.0,1
"Tiruppur","I","I",0.060381439421550866,0.9396185605784491,2,1,25,1.0,1
"Cuddalore","R","R",0.37744276340623223,0.6225572365937678,2,1,3,1.0,1
"Namakkal","I","I",0.16136406767075437,0.8386359323292457,2,1,13,1.0,1
"Virudhunagar","I","I",0.1414340341147678,0.8585659658852322,2,1,31,1.0,1
"Chennai","I","I",0.20600406580474742,0.7939959341952525,2,1,1,1.0,1
"Kanyakumari","R","R",NaN,NaN,2,1,8,1.0,1
"Salem","I","I",0.16630672290048634,0.8336932770995136,2,1,18,1.0,1
"Dindigul","I","I",0.08257742514326794,0.9174225748567321,2,1,5,1.0,1
"Dharmapuri","I","I",0.19963127294442204,0.800368727055578,2,1,4,1.0,1
"Krishnagiri","I","I",0.17605654400450632,0.8239434559954936,2,1,10,1.0,1
"Nilgiris","I","I",0.18077928683969383,0.8192207131603062,2,1,14,1.0,1
"Madurai","I","I",0.052887681876710925,0.9471123181232891,2,1,11,1.0,1
"Pudukkottai","I","I",0.216421387487601,0.783578612512399,2,1,16,1.0,1
"Karur","S","I",0.9603227552767882,0.039677244723211796,2,1,9,1.0,1
"Viluppuram","I","I",0.19036448948844772,0.8096355105115522,2,1,30,1.0,1
"Nagapattinam","R","S",0.39484596369092456,0.6051540363090754,2,1,12,1.0,1
"Ramanathapuram","I","I",0.09613201185845056,0.9038679881415494,2,1,17,1.0,1
"Tiruchirappalli","I","I",0.19412824428500827,0.8058717557149918,2,1,23,1.0,1
"Coimbatore","I","I",0.06583162095558445,0.9341683790444156,3,1,2,2.0,1
"Tiruvannamalai","I","I",0.12116846890938827,0.8788315310906116,3,1,27,2.0,1
"Perambalur","R","R",0.2850854184476645,0.7149145815523354,3,1,15,2.0,1
"Kanchipuram","S","I",0.9447390693065351,0.05526093069346492,3,1,7,2.0,1
"Vellore","I","I",0.09495659157542244,0.9050434084245775,3,1,29,2.0,1
"Erode","I","I",0.08485890722761162,0.9151410927723884,3,1,6,2.0,1
"Theni","I","I",0.23599288467339727,0.7640071153266027,3,1,21,2.0,1
"Ariyalur","I","I",0.14517722432822325,0.8548227756717767,3,1,0,2.0,1
"Tirunelveli","I","I",0.4640554734975421,0.5359445265024578,3,1,24,2.0,1
"Sivaganga","I","R",0.16183621833509648,0.8381637816649036,3,1,19,2.0,1
"Thanjavur","I","I",0.05534804708148791,0.9446519529185121,3,1,20,2.0,1
"Thoothukudi","R","R",0.0,1.0,3,1,22,2.0,1
"Tiruvallur","I","I",0.0,1.0,3,1,26,2.0,1
"Tiruvarur","I","I",0.1558403813048711,0.8441596186951289,3,1,28,2.0,1
"Tiruppur","I","I",0.10922949055047713,0.8907705094495229,3,1,25,2.0,1
"Cuddalore","R","R",0.4136785454673096,0.5863214545326904,3,1,3,2.0,1
"Namakkal","I","R",0.1190600650318579,0.8809399349681422,3,1,13,2.0,1
